year	division	category	winner	award
2003	Agriculture		Kenneth White, Utah State University professor	statue
2003	Arts & Entertainment		Utah Shakespearean Festival	statue
2003	Community Development		Patrick Byrne, Overstock.com	statue
2003	Dining Establishments		Log Haven Restaurant Group, LC	statue
2003	Education		Richard Clark, Mountain View High School principal	statue
2003	Hospitality		the Blue Boar Inn	statue
2003	Manufacturing		EK Ekcessories	statue
2003	Merchandising		Ken Garff Automotive Group	statue
2003	Science and Technology		Mario Capecchi, University of Utah	statue
2003	Services		University of Utah Hospitals & Clinics	statue
2003	Sports and Recreation		Larry Gelwix, Highland High School rugby coach	statue
2005		American	The Foundry Grill	medal
2005		American Traditional	Log Haven Restaurant	medal
2005		American Traditional	Metropolitan	medal
2005		Apparel	'Ohana Swimwear	medal
2005		Appointed Official	Soren D. Simonsen	medal
2005		Asian/Pacific	Mikado	medal
2005		Asian/Pacific	Rumbi Island Grill	medal
2005		Baked Goods	Cakes de Fleur	medal
2005		Buffet Brunch	The Blue Boar Inn & Restaurant	medal
2005		Candy/Confectionary	Mrs. Cavanaugh's Candies, Inc.	medal
2005		Charitable/Service Organization	Intermountain Donor Services	medal
2005		Charitable/Service Organization	Profiles In Caring	medal
2005		Charitable/Service Organization	United Way of Salt Lake	medal
2005		Chef	Chris Sheehan, The Blue Boar Inn & Restaurant	medal
2005		Children's Performing Group	Imagine Ballet Theatre	medal
2005		City Planning	Soren D. Simonsen	medal
2005		Dairy Products	The Canyon View Farm	medal
2005		Dairy/Egg Production	The Canyon View Farm	medal
2005		Dance Group	Repertory Dance Theatre	medal
2005		Drawing/Illustration	Greg Newbold	medal
2005		Elected Official	Randy A. Brailsford	medal
2005		Employer	Zions Bank	medal
2005		Entrepreneur	Culinary Crafts	medal
2005		European	The Blue Boar Inn & Restaurant	medal
2005		Family Pizza	Gold Medal Pizza	medal
2005		Feature Film	Saints and Soldiers - Adam Abel and Ryan Little	medal
2005		Fiction	NANCY CAMPBELL ALLEN	medal
2005		Food Manufacturing/Processing	Tahitian Noni International	medal
2005		Franchise Burgers	Robert Sherwood	medal
2005		Frozen Desserts	Home of the Train/Dairy Keen	medal
2005		Furniture/Fixtures	Mr. Guy Greer/ Anderson Mill Inc.	medal
2005		Greenhouse/Nursery	Brad Pack	medal
2005		Handicrafts	Body & Spirit	medal
2005		Individual Dancer	Josie Lee Marine	medal
2005		Individual Humanitarian	Intermountain Donor Services	medal
2005		Individual Instrumentalist	Kelle Cetraro	medal
2005		Individual Vocalist	Cheri Magill	medal
2005		Individual Vocalist	Lauri Carrigan	medal
2005		Individual Volunteer	Alan Blain Cunningham	medal
2005		International Business	Nu Skin Enterprises	medal
2005		Jewelry	My Princess Pearls	medal
2005		Large Business	Nu Skin Enterprises	medal
2005		Library	Salt Lake County Library Services	medal
2005		Livestock	Richard V. Nielson	medal
2005		Local Burgers	Home of the Train/Dairy Keen	medal
2005		Military Personnel/Unit	Family Readiness Group 1st/211th AVN RGT	medal
2005		Mining/Quarrying	Staker & Parson Companies	medal
2005		Non-fiction	"""Speaking on Business"" hosted by Fred Ball"	medal
2005		Original Music Composition	Mark Geslison & Geoff Groberg	medal
2005		Painting	Classical - Steven Lee Adams	medal
2005		Parks & Recreation Department	St. George City - Leisure Services Department	medal
2005		Poetry	Leslie Norris	medal
2005		Portrait Photography	Bob Boyd	medal
2005		Portrait Photography	Mackley Designer Portraiture	medal
2005		Printing/Publishing	Lumin Publishing, Inc.	medal
2005		Rubber/Plastic Products	Stampin' Up!	medal
2005		Screenwriting	Jeffrey Gold	medal
2005		Sculpture	Tod L. Wadsworth	medal
2005		Small Business (under $5M/year)	Rocky Point Haunted House	medal
2005		Specialty Act	Messiah: Handel's Gift to Children	medal
2005		Theater Group/Director	Hale Centre Theatre	medal
2005		Transportation Equipment	International Armoring Corporation	medal
2005		Vocal Group	Michael Ballam	medal
2005		Wholesale Goods	Bullfrog Spas	medal
